Document,FinBERT_Negative,FinBERT_Neutral,FinBERT_Positive,LM_Positive,LM_Negative,LM_Polarity,LM_Subjectivity,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,SBN_Negative,SBN_Neutral,SBN_Positive,SBN_Compound,COVID_Related_Frequency,COVID_Contextual_Positive_Frequency,COVID_Contextual_Negative_Frequency,Sentence
AAPL,0.20077046387149652,0.6096980640930789,0.1895314719478943,0.16541353383458646,0.48120300751879697,-0.16992469270686605,0.03530674601338943,0.07314285714285713,0.7948195488721804,0.1320375939849624,0.16520075187969926,0.07434586466165413,0.5976015037593985,0.32803007518796995,0.30542556390977443,0.045112781954887216,0.03759398496240601,0.03759398496240601,133
ABBV,0.12529048113159108,0.6086379103698778,0.26607160703262267,0.38848920863309355,0.2697841726618705,0.06894479081739369,0.03545933428848629,0.03851079136690647,0.7670791366906474,0.19439208633093524,0.3517165467625899,0.05277697841726619,0.5898741007194245,0.3573453237410072,0.3571003597122302,0.08992805755395683,0.08273381294964029,0.03597122302158273,278
ABT,0.14761325391239977,0.5771669082730861,0.27521983622388896,0.2222222222222222,0.2962962962962963,-0.04790119397260349,0.030115064752297173,0.04938271604938271,0.7903580246913581,0.15283456790123456,0.22181728395061728,0.06832592592592593,0.5897753086419754,0.3344913580246913,0.2697743209876543,0.1308641975308642,0.10123456790123457,0.0691358024691358,405
ACN,0.21428981823211704,0.5260488300711256,0.25966135302177545,0.3116883116883117,0.2683982683982684,0.06565649488944106,0.03862951349730869,0.038515151515151516,0.8078095238095239,0.15367099567099565,0.2707813852813853,0.06013419913419914,0.588017316017316,0.35183982683982684,0.31778181818181817,0.06060606060606061,0.030303030303030304,0.021645021645021644,231
ADBE,0.11282415563756651,0.6445484522799332,0.24262739161683902,0.4228187919463087,0.22483221476510068,0.12136455845992178,0.03295453358883614,0.029130872483221475,0.7818187919463088,0.1890503355704698,0.3492681208053691,0.046124161073825505,0.5730939597315436,0.38081208053691273,0.38028590604026846,0.03355704697986577,0.020134228187919462,0.02348993288590604,298
ADI,0.21559327087309926,0.6915613333808213,0.09284539739130786,0.17966101694915254,0.3593220338983051,-0.1262710777896494,0.029959431469448877,0.053216949152542374,0.8049288135593221,0.14185762711864405,0.2076671186440678,0.07285084745762711,0.5897728813559322,0.3374169491525424,0.2870410169491525,0.03728813559322034,0.02711864406779661,0.03389830508474576,295
ADP,0.16391828633578762,0.5865361716408206,0.24954554634548876,0.3684210526315789,0.4251012145748988,-0.05427550004116428,0.035251953040024174,0.05124291497975709,0.7488340080971659,0.19988663967611336,0.3634283400809717,0.0701255060728745,0.5564858299595141,0.3733805668016194,0.3904748987854251,0.08906882591093117,0.07692307692307693,0.048582995951417005,247
AMAT,0.20939415285715693,0.6101744911157153,0.18043135328473164,0.24838709677419354,0.35161290322580646,-0.031167423337324664,0.02981200012965923,0.05373225806451613,0.7685387096774194,0.17774193548387096,0.28413064516129033,0.0675483870967742,0.5859967741935483,0.34648709677419354,0.3478877419354839,0.06774193548387097,0.05161290322580645,0.03870967741935484,310
AMD,0.15702499142261567,0.5473556198628137,0.2956193855239285,0.4036144578313253,0.22289156626506024,0.0642570028781884,0.03788882771682793,0.05490963855421687,0.8016807228915663,0.1433855421686747,0.19392048192771086,0.054602409638554214,0.5588072289156627,0.3865602409638554,0.3391024096385542,0.030120481927710843,0.018072289156626505,0.012048192771084338,166
AMGN,0.18946388172617062,0.5854590542781419,0.22507706263653038,0.23243243243243245,0.3054054054054054,-0.04054051554055817,0.03196680639529081,0.07072162162162163,0.7694243243243244,0.15715135135135136,0.20780756756756757,0.08714594594594595,0.5622567567567568,0.34787027027027023,0.2889408108108108,0.08108108108108109,0.051351351351351354,0.04864864864864865,370
AMZN,0.17804650184826568,0.5885487989770299,0.23340470061013732,0.3031674208144796,0.27149321266968324,-0.019456983552068083,0.02779611797062458,0.046755656108597284,0.80320814479638,0.1455158371040724,0.25887104072398187,0.05894570135746606,0.5189321266968325,0.4176108597285068,0.3969334841628959,0.09049773755656108,0.04072398190045249,0.04072398190045249,221
AVGO,0.20579232843944206,0.5797425735731813,0.2144650987228956,0.2519893899204244,0.35543766578249336,-0.028381960335030914,0.0327665110624892,0.04286737400530504,0.7729522546419099,0.18417506631299735,0.3089344827586207,0.06794960212201592,0.5544137931034483,0.3776472148541114,0.3430567639257295,0.029177718832891247,0.021220159151193633,0.015915119363395226,377
AXP,0.1619060944286034,0.6980865253530668,0.14000737844881686,0.3689759036144578,0.6265060240963856,-0.06943365480276115,0.03845662389128476,0.07884789156626505,0.7437018072289157,0.17745481927710843,0.24169804216867471,0.08750150602409638,0.5631189759036145,0.34939156626506024,0.31033900602409636,0.04216867469879518,0.03313253012048193,0.025602409638554216,664
BA,0.35521488977734994,0.43745046074831895,0.20733465213091432,0.2149390243902439,0.48628048780487804,-0.16402426686494406,0.047296463007002194,0.07463719512195123,0.7856570121951219,0.13971189024390243,0.13635182926829267,0.09273323170731707,0.5787560975609756,0.3285121951219512,0.23524268292682926,0.10060975609756098,0.056402439024390245,0.07926829268292683,656
BAC,0.141997443868978,0.7184847873685882,0.13951776900692864,0.15139949109414758,0.5756997455470738,-0.1879219519140739,0.035766565548532414,0.09291984732824426,0.7426730279898218,0.16439821882951655,0.19078982188295165,0.10723346055979643,0.5655706106870229,0.3271984732824427,0.23327258269720103,0.06743002544529263,0.05089058524173028,0.04007633587786259,1572
BKNG,0.315553711203501,0.5147714307046108,0.16967485860177425,0.30458715596330277,0.636697247706422,-0.14661414881635934,0.04525852111754246,0.05511009174311927,0.7934788990825689,0.15141467889908258,0.2262732110091743,0.08345137614678899,0.6094770642201836,0.30708073394495417,0.2703062385321101,0.1706422018348624,0.12477064220183487,0.10458715596330276,545
BLK,0.10598190078120276,0.7472793865850111,0.14673871406644934,0.23674242424242425,0.26515151515151514,-0.014863712557537243,0.024549917084533527,0.03964962121212121,0.7761439393939393,0.18230681818181818,0.3350840909090909,0.06177651515151516,0.5623068181818183,0.37402651515151514,0.3672251893939394,0.01893939393939394,0.00946969696969697,0.00946969696969697,528
BMY,0.13185750208113614,0.5770710338432771,0.29107146458505595,0.2864321608040201,0.38023450586264657,-0.04941369464455726,0.036729809844859906,0.054350083752093804,0.784608040201005,0.16102680067001673,0.24242294807370182,0.06563986599664991,0.612108877721943,0.32226968174204357,0.29119346733668344,0.06532663316582915,0.05025125628140704,0.038525963149078725,597
BRK-B,0.35365419832793377,0.40307318814878773,0.2432726137709449,0.16905071521456436,0.8686605981794538,-0.32699836246859876,0.06631571049193188,0.1055071521456437,0.7429505851755526,0.15154616384915476,0.08751066319895968,0.12849154746423927,0.5367568270481144,0.33474252275682703,0.17419557867360208,0.0741222366710013,0.044213263979193757,0.053315994798439535,769
BSX,0.21621101433391593,0.6259530634631084,0.15783592374339103,0.22107438016528927,0.6466942148760331,-0.24224748189851195,0.04099293566009051,0.054873966942148765,0.7956818181818182,0.1494297520661157,0.22197438016528925,0.08556611570247934,0.5679504132231404,0.3464586776859504,0.26651735537190085,0.09710743801652892,0.05578512396694215,0.0371900826446281,484
